st,statefip,year,adopt_year,unins
AL,1,2008,,0.196409477
AL,1,2009,,0.214109464
AL,1,2010,,0.23000148
AL,1,2011,,0.225067805
AL,1,2012,,0.215934794
AL,1,2013,,0.22186952
AL,1,2014,,0.198098064
AL,1,2015,,0.174112808
AL,1,2016,,0.157465444
AL,1,2017,,0.161113756
AL,1,2018,,0.170606659
AL,1,2019,,0.162885466
AL,1,2020,,0.165320467
AL,1,2021,,0.166078253
AK,2,2008,2015,0.247202344
AK,2,2009,2015,0.261222143
AK,2,2010,2015,0.233852128
AK,2,2011,2015,0.250909914
AK,2,2012,2015,0.258370653
AK,2,2013,2015,0.239936802
AK,2,2014,2015,0.223373338
AK,2,2015,2015,0.189229154
AK,2,2016,2015,0.184763702
AK,2,2017,2015,0.182368072
AK,2,2018,2015,0.160678562
AK,2,2019,2015,0.159345686
AK,2,2020,2015,0.15696132
AK,2,2021,2015,0.13929996
AZ,4,2008,2014,0.241640902
AZ,4,2009,2014,0.246127087
AZ,4,2010,2014,0.241616016
AZ,4,2011,2014,0.24534533
AZ,4,2012,2014,0.252707356
AZ,4,2013,2014,0.251575927
AZ,4,2014,2014,0.200761495
AZ,4,2015,2014,0.161837678
AZ,4,2016,2014,0.152157757
AZ,4,2017,2014,0.151485439
AZ,4,2018,2014,0.162122941
AZ,4,2019,2014,0.168829472
AZ,4,2020,2014,0.168133516
AZ,4,2021,2014,0.155186181
AR,5,2008,2014,0.262867462
AR,5,2009,2014,0.266118638
AR,5,2010,2014,0.276667559
AR,5,2011,2014,0.274173433
AR,5,2012,2014,0.261669176
AR,5,2013,2014,0.255084301
AR,5,2014,2014,0.190424924
AR,5,2015,2014,0.148810304
AR,5,2016,2014,0.133915979
AR,5,2017,2014,0.130727887
AR,5,2018,2014,0.138604161
AR,5,2019,2014,0.148485348
AR,5,2020,2014,0.143778283
AR,5,2021,2014,0.14862391
CA,6,2008,2014,0.240113063
CA,6,2009,2014,0.255982807
CA,6,2010,2014,0.263597559
CA,6,2011,2014,0.260837479
CA,6,2012,2014,0.256895341
CA,6,2013,2014,0.247974832
CA,6,2014,2014,0.182708747
CA,6,2015,2014,0.127880624
CA,6,2016,2014,0.110410245
CA,6,2017,2014,0.108173335
CA,6,2018,2014,0.108157541
CA,6,2019,2014,0.116175589
CA,6,2020,2014,0.105952512
CA,6,2021,2014,0.104232696
CO,8,2008,2014,0.211103409
CO,8,2009,2014,0.209067346
CO,8,2010,2014,0.214060261
CO,8,2011,2014,0.207267661
CO,8,2012,2014,0.198559457
CO,8,2013,2014,0.191462987
CO,8,2014,2014,0.148210101
CO,8,2015,2014,0.115763391
CO,8,2016,2014,0.112078948
CO,8,2017,2014,0.110459743
CO,8,2018,2014,0.111148326
CO,8,2019,2014,0.112378297
CO,8,2020,2014,0.122105724
CO,8,2021,2014,0.115519481
CT,9,2008,2014,0.126519739
CT,9,2009,2014,0.132540486
CT,9,2010,2014,0.139207812
CT,9,2011,2014,0.131440804
CT,9,2012,2014,0.137171824
CT,9,2013,2014,0.136286286
CT,9,2014,2014,0.09821693
CT,9,2015,2014,0.085409367
CT,9,2016,2014,0.069632683
CT,9,2017,2014,0.082921047
CT,9,2018,2014,0.079473392
CT,9,2019,2014,0.087160973
CT,9,2020,2014,0.065669023
CT,9,2021,2014,0.077721855
DE,10,2008,2014,0.144932125
DE,10,2009,2014,0.156150308
DE,10,2010,2014,0.156029732
DE,10,2011,2014,0.141413206
DE,10,2012,2014,0.136474432
DE,10,2013,2014,0.156437681
DE,10,2014,2014,0.111684599
DE,10,2015,2014,0.094448904
DE,10,2016,2014,0.08956797
DE,10,2017,2014,0.089918087
DE,10,2018,2014,0.086976207
DE,10,2019,2014,0.111344649
DE,10,2020,2014,0.108449955
DE,10,2021,2014,0.092799751
DC,11,2008,2014,0.094465289
DC,11,2009,2014,0.094367852
DC,11,2010,2014,0.10279695
DC,11,2011,2014,0.102770245
DC,11,2012,2014,0.073840765
DC,11,2013,2014,0.085118615
DC,11,2014,2014,0.074346009
DC,11,2015,2014,0.048854625
DC,11,2016,2014,0.049259141
DC,11,2017,2014,0.049697075
DC,11,2018,2014,0.043018729
DC,11,2019,2014,0.047379799
DC,11,2020,2014,0.042931336
DC,11,2021,2014,0.041960409
FL,12,2008,,0.286993674
FL,12,2009,,0.304864186
FL,12,2010,,0.319221064
FL,12,2011,,0.314297846
FL,12,2012,,0.303721153
FL,12,2013,,0.304380805
FL,12,2014,,0.255531761
FL,12,2015,,0.211896473
FL,12,2016,,0.199409375
FL,12,2017,,0.204149066
FL,12,2018,,0.207466782
